iter	Passed	Remaining
399	77366	98255
400	77624	98143
401	77892	98043
402	78100	97867
403	78289	97667
404	78496	97490
405	78692	97299
406	78900	97122
407	79112	96951
408	79306	96757
409	79502	96566
410	79689	96363
411	79902	96193
412	80112	96018
413	80304	95822
414	80402	95514
415	80563	95281
416	80767	95100
417	80942	94885
418	81139	94694
419	81330	94497
420	81419	94184
421	81598	93974
422	81798	93788
423	82025	93632
424	82214	93434
425	82416	93250
426	82615	93063
427	82795	92854
428	82993	92666
429	83199	92486
430	83395	92296
431	83596	92111
432	83773	91898
433	83973	91712
434	84170	91523
435	84379	91346
436	84576	91156
437	84777	90971
438	84974	90781
439	85242	90667
440	85495	90535
441	85635	90284
442	85859	90123
443	86082	89959
444	86276	89766
445	86451	89553
446	86733	89450
447	86951	89280
448	87138	89079
449	87328	88880
450	87516	88680
451	87710	88486
452	87890	88278
453	88056	88056
454	88245	87857
455	88433	87658
456	88607	87444
457	88810	87259
458	89007	87068
459	89106	86781
460	89274	86563
461	89479	86380
462	89666	86180
463	89853	85980
464	90057	85796
465	90252	85603
466	90430	85395
467	90625	85203
468	90811	85002
469	91027	84830
470	91195	84611
471	91399	84428
472	91578	84221
473	91769	84024
474	91951	83820
475	92126	83610
476	92319	83416
477	92534	83242
478	92731	83051
479	92916	82850
480	93164	82705
481	93440	82583
482	93691	82440
483	93928	82284
484	94116	82085
485	94334	81911
486	94519	81709
487	94714	81516
488	94916	81328
489	95102	81128
490	95285	80924
491	95486	80736
492	95574	80453
493	95752	80245
494	95937	80044
495	96178	79889
496	96379	79702
497	96559	79496
498	96745	79296
499	96931	79095
500	97123	78900
501	97323	78712
502	97521	78521
503	97710	78323
504	97904	78129
505	98119	77952
506	98328	77770
507	98515	77570
508	98707	77376
509	98934	77207
510	99009	76921
511	99183	76712
512	99379	76520
513	99571	76325
514	99756	76124
515	99948	75930
516	100119	75719
517	100300	75516
518	100503	75329
519	100675	75119
520	100868	74925
521	101094	74756
522	101346	74604
523	101601	74455
524	101859	74308
525	102100	74148
526	102299	73958
527	102385	73686
528	102541	73465
529	102736	73272
530	102829	73006
531	103028	72817
532	103244	72639
533	103444	72450
534	103631	72251
535	103827	72059
536	104029	71871
537	104224	71678
538	104423	71488
539	104631	71304
540	104818	71105
541	105030	70924
542	105222	70729
543	105419	70537
544	105657	70373
545	105854	70182
546	106036	69980
547	106213	69775
548	106402	69578
549	106613	69395
550	106792	69192
551	106976	68991
552	107175	68801
553	107398	68626
554	107594	68433
555	107784	68237
556	107986	68049
557	108190	67861
558	108413	67685
559	108616	67497
560	108823	67311
561	109087	67160
562	109317	66988
563	109585	66839
564	109878	66705
565	110089	66520
566	110292	66331
567	110510	66150
568	110700	65953
569	110919	65773
570	111119	65581
571	111298	65377
572	111474	65172
573	111653	64969
574	111762	64725
575	111945	64523
576	112148	64334
577	112337	64137
578	112544	63949
579	112755	63765
580	112958	63575
581	113188	63401
582	113393	63212
583	113595	63022
584	113769	62816
585	113938	62607
586	114139	62416
587	114322	62216
588	114534	62031
589	114716	61830
590	114945	61654
591	115154	61467
592	115367	61283
593	115715	61169
594	115926	60983
595	116145	60801
596	116346	60609
597	116556	60422
598	116764	60234
599	116981	60050
600	117229	59882
601	117420	59685
602	117631	59498
603	117888	59334
604	118100	59147
605	118290	58949
606	118504	58764
607	118717	58577
608	118907	58379
609	119079	58173
610	119274	57977
611	119474	57785
612	119663	57586
613	119845	57385
614	120043	57191
615	120231	56992
616	120409	56789
617	120636	56609
618	120862	56428
619	121067	56237
620	121260	56041
621	121451	55844
622	121491	55577
623	121667	55374
624	121895	55194
625	122083	54995
626	122287	54805
