iter	RMSE
126	0.2140782267
127	0.2138845119
128	0.2134477967
129	0.2132813318
130	0.2131259987
131	0.2128812258
132	0.212713808
133	0.2125314179
134	0.2121699873
135	0.211794327
136	0.2115342178
137	0.2112380651
138	0.2110363605
139	0.2107936778
140	0.2106701141
141	0.2104778492
142	0.2102503446
143	0.2100613956
144	0.2098366021
145	0.2097080935
146	0.2095068539
147	0.2094095116
148	0.2092888237
149	0.2090904062
150	0.2088376076
151	0.2084560546
152	0.2083623429
153	0.2082510549
154	0.2080767753
155	0.2079512414
156	0.2079240651
157	0.2075388714
158	0.2074279725
159	0.2074030633
160	0.2072346514
161	0.2070098361
162	0.2069838339
163	0.2067324174
164	0.206555134
165	0.2063128828
166	0.2061580769
167	0.2059528948
168	0.2058018135
169	0.2055032321
170	0.2053024913
171	0.2051120827
172	0.2050142131
173	0.2047574999
174	0.2045512559
175	0.2043778781
176	0.2042429893
177	0.2038539172
178	0.2037083582
179	0.2035985025
180	0.2033736577
181	0.2032234727
182	0.2030538066
183	0.2028966762
184	0.2027122801
185	0.2024251896
186	0.202293355
187	0.2020837898
188	0.2019268526
189	0.2018161833
190	0.2016180932
191	0.2014708593
192	0.2012076677
193	0.2010925615
194	0.2008483976
195	0.2006348322
196	0.2003244104
197	0.2001430691
198	0.1999387421
199	0.199734547
200	0.199501497
201	0.1994234613
202	0.1991204695
203	0.199010595
204	0.1988101611
205	0.1985770441
206	0.1983203686
207	0.1979968808
208	0.197805158
209	0.1976424794
210	0.1974081134
211	0.197225351
212	0.197114725
213	0.1969062714
214	0.1968355965
215	0.1967087713
216	0.1964811216
217	0.1962749814
218	0.1960993536
219	0.1959680839
220	0.1958012534
221	0.1955461398
222	0.1952205508
223	0.1951022171
224	0.1949274973
225	0.1947567404
226	0.1945220522
227	0.1942972197
228	0.1941213162
229	0.1939267694
230	0.1937604896
231	0.1935469683
232	0.1933960904
233	0.1932284533
234	0.1930763692
235	0.1928201731
236	0.1926960041
237	0.1924943585
238	0.1923688843
239	0.1922869386
240	0.1921605556
241	0.1920395126
242	0.1919282278
243	0.1917119463
244	0.1915090043
245	0.1914006168
246	0.1911860313
247	0.1910151102
248	0.1908892254
249	0.1907505435
250	0.1906938418
251	0.1905890874
252	0.1903468944
253	0.1901102581
254	0.1899628439
255	0.1897191318
256	0.1895242065
257	0.1893616105
258	0.1892873084
259	0.1889614607
260	0.1887868301
261	0.1887247064
262	0.1885432557
263	0.1884603408
264	0.1882808139
265	0.1881646369
266	0.1879907214
267	0.1876692678
268	0.1875579151
269	0.1873728178
270	0.1871998255
271	0.1869373123
272	0.1867555689
273	0.1865031209
274	0.1863923826
275	0.1862746733
276	0.1860958062
277	0.1858995648
278	0.1857889437
279	0.1857219142
280	0.1856348319
281	0.185502381
282	0.185284072
283	0.1851122374
284	0.1850088456
285	0.1848390944
286	0.1847010232
287	0.1844843189
288	0.1843155767
289	0.1841140833
290	0.1840062631
291	0.183885334
292	0.1836570314
293	0.183554891
294	0.1835071539
295	0.183393729
296	0.1831918095
297	0.1830492266
298	0.1828742679
299	0.1827638904
300	0.1826297867
301	0.1825199466
302	0.1822788025
303	0.1821885314
304	0.1821107133
305	0.1819666584
306	0.1818373343
307	0.1817867877
308	0.1816305654
309	0.1815237905
310	0.1814523808
311	0.1813331486
312	0.1811792316
313	0.1810743058
314	0.1809156785
315	0.1807707
316	0.1806730722
317	0.1805458404
318	0.180476351
319	0.1803713891
320	0.1802972316
321	0.1800106206
322	0.179812904
323	0.179633037
324	0.179563264
325	0.1794960305
